"ID","Ortnamn","N","E","LOPNR","Namntyp_nr","Språk_nr","Sockenstad_nr","Län_nr","Kommun_nr","Kombo","Sockenstad","nr"
1,"Ájgájåhkå",7373400.00,587735.00,3414608.00,7,2,1,2,1,"Ájgájåhkå_3414608_1","Arjeplog",1
2,"Allejaurälven",7305561.00,655276.00,3414713.00,7,5,1,2,1,"Allejaurälven_3414713_1","Arjeplog",1
3,"Jilliejávriejuhka",7305516.00,655198.00,3414713.00,7,7,1,2,1,"Jilliejávriejuhka_3414713_1","Arjeplog",1
4,"Avatjärnen",7308823.00,655591.00,3414833.00,8,5,1,2,1,"Avatjärnen_3414833_1","Arjeplog",1
5,"Bartek",7377347.00,601141.00,3414848.00,7,2,1,2,1,"Bartek_3414848_1","Arjeplog",1
6,"Bassejåhkå",7336385.00,610031.00,3414850.00,7,2,1,2,1,"Bassejåhkå_3414850_1","Arjeplog",1
7,"Bassebäcken",7336416.00,610104.00,3414850.00,7,5,1,2,1,"Bassebäcken_3414850_1","Arjeplog",1
8,"Bieljávrjåhkå",7354040.00,588853.00,3414890.00,7,2,1,2,1,"Bieljávrjåhkå_3414890_1","Arjeplog",1
9,"Blassaselet",7359042.00,556373.00,3414974.00,7,5,1,2,1,"Blassaselet_3414974_1","Arjeplog",1
10,"Blävttajåhkå",7354759.00,615828.00,3414985.00,7,2,1,2,1,"Blävttajåhkå_3414985_1","Arjeplog",1
11,"Brattforsen",7284988.00,643869.00,3415050.00,7,5,1,2,1,"Brattforsen_3415050_1","Arjeplog",1
12,"Bredträskbäcken",7321403.00,638208.00,3415076.00,7,5,1,2,1,"Bredträskbäcken_3415076_1","Arjeplog",1
13,"Båjmátjjåhkå",7384263.00,563363.00,3415188.00,7,2,1,2,1,"Båjmátjjåhkå_3415188_1","Arjeplog",1
14,"Båtsabäcken",7306439.00,642021.00,3415195.00,7,5,1,2,1,"Båtsabäcken_3415195_1","Arjeplog",1
15,"Båhttsájuhka",7306418.00,642058.00,3415195.00,7,7,1,2,1,"Båhttsájuhka_3415195_1","Arjeplog",1
16,"Davnasjåhkå",7377309.00,567324.00,3415252.00,7,2,1,2,1,"Davnasjåhkå_3415252_1","Arjeplog",1
17,"Djupvikbäcken",7301298.00,616735.00,3415309.00,7,5,1,2,1,"Djupvikbäcken_3415309_1","Arjeplog",1
18,"Esmebäcken",7351857.00,599715.00,3415391.00,7,5,1,2,1,"Esmebäcken_3415391_1","Arjeplog",1
19,"Evebäcken",7322989.00,612150.00,3415393.00,7,5,1,2,1,"Evebäcken_3415393_1","Arjeplog",1
20,"Fambarströmmen",7284637.00,643124.00,3415399.00,7,5,1,2,1,"Fambarströmmen_3415399_1","Arjeplog",1
21,"Fräkenselet",7308096.00,654764.00,3415495.00,8,5,1,2,1,"Fräkenselet_3415495_1","Arjeplog",1
22,"Gaitsjaurebäcken",7357615.00,570059.00,3415544.00,7,5,1,2,1,"Gaitsjaurebäcken_3415544_1","Arjeplog",1
23,"Gargaurbäcken",7288837.00,625955.00,3415579.00,7,5,1,2,1,"Gargaurbäcken_3415579_1","Arjeplog",1
24,"Gárggurejuhka",7288614.00,626098.00,3415579.00,7,7,1,2,1,"Gárggurejuhka_3415579_1","Arjeplog",1
25,"Gargån",7281916.00,634171.00,3415580.00,7,5,1,2,1,"Gargån_3415580_1","Arjeplog",1
26,"Gárgguojuhka",7281785.00,634298.00,3415580.00,7,7,1,2,1,"Gárgguojuhka_3415580_1","Arjeplog",1
27,"Gargån",7287444.00,629479.00,3415581.00,7,5,1,2,1,"Gargån_3415581_1","Arjeplog",1
28,"Geusakbäcken",7307439.00,633743.00,3415598.00,7,5,1,2,1,"Geusakbäcken_3415598_1","Arjeplog",1
29,"Giejávrjåhkå",7332842.00,642541.00,3415603.00,7,2,1,2,1,"Giejávrjåhkå_3415603_1","Arjeplog",1
30,"Giejaurbäcken",7332914.00,642583.00,3415603.00,7,5,1,2,1,"Giejaurbäcken_3415603_1","Arjeplog",1
31,"Gimesmyrbäcken",7302649.00,631037.00,3415606.00,7,5,1,2,1,"Gimesmyrbäcken_3415606_1","Arjeplog",1
32,"Gorkabäcken",7289384.00,630209.00,3415616.00,7,5,1,2,1,"Gorkabäcken_3415616_1","Arjeplog",1
33,"Kráhkajåhkå",7377027.00,580131.00,3415618.00,7,2,1,2,1,"Kráhkajåhkå_3415618_1","Arjeplog",1
34,"Granlidbäcken",7327396.00,654594.00,3415631.00,7,5,1,2,1,"Granlidbäcken_3415631_1","Arjeplog",1
35,"Gárgguojuhka",7287450.00,629411.00,3415757.00,7,7,1,2,1,"Gárgguojuhka_3415757_1","Arjeplog",1
36,"Gäddbäcken",7281596.00,639707.00,3415763.00,7,5,1,2,1,"Gäddbäcken_3415763_1","Arjeplog",1
37,"Gåhpejågåtj",7376001.00,589795.00,3415795.00,7,2,1,2,1,"Gåhpejågåtj_3415795_1","Arjeplog",1
38,"Handskbäcken",7286857.00,620343.00,3415873.00,7,5,1,2,1,"Handskbäcken_3415873_1","Arjeplog",1
39,"Harrbäcken",7293189.00,651054.00,3415913.00,7,5,1,2,1,"Harrbäcken_3415913_1","Arjeplog",1
40,"Hárriejuhka",7293162.00,651085.00,3415913.00,7,7,1,2,1,"Hárriejuhka_3415913_1","Arjeplog",1
41,"Harrbäcken",7296441.00,633203.00,3415914.00,7,5,1,2,1,"Harrbäcken_3415914_1","Arjeplog",1
42,"Hárriejuhka",7296441.00,633204.00,3415914.00,7,7,1,2,1,"Hárriejuhka_3415914_1","Arjeplog",1
43,"Harrurbäcken",7300328.00,637684.00,3415948.00,7,5,1,2,1,"Harrurbäcken_3415948_1","Arjeplog",1
44,"Hedbäcken",7303487.00,616047.00,3415996.00,7,5,1,2,1,"Hedbäcken_3415996_1","Arjeplog",1
45,"Hundtjärnbäcken",7280056.00,636504.00,3416141.00,7,5,1,2,1,"Hundtjärnbäcken_3416141_1","Arjeplog",1
46,"Ellitjjåhkå",7367327.00,581635.00,3416286.00,7,2,1,2,1,"Ellitjjåhkå_3416286_1","Arjeplog",1
47,"Jalkamyrbäcken",7300638.00,649706.00,3416327.00,7,5,1,2,1,"Jalkamyrbäcken_3416327_1","Arjeplog",1
48,"Kobäcken",7298480.00,626791.00,3416964.00,7,5,1,2,1,"Kobäcken_3416964_1","Arjeplog",1
49,"Krajabäcken",7314125.00,617483.00,3417084.00,7,5,1,2,1,"Krajabäcken_3417084_1","Arjeplog",1
50,"Krokforsen",7285830.00,644521.00,3417105.00,7,5,1,2,1,"Krokforsen_3417105_1","Arjeplog",1
51,"Kvarnbäcken",7299060.00,629104.00,3417278.00,7,5,1,2,1,"Kvarnbäcken_3417278_1","Arjeplog",1
52,"Kvarnbäcken",7301025.00,645538.00,3417280.00,7,5,1,2,1,"Kvarnbäcken_3417280_1","Arjeplog",1
53,"Kvarnbäcken",7332396.00,650207.00,3417294.00,7,5,1,2,1,"Kvarnbäcken_3417294_1","Arjeplog",1
54,"Kvarnbäcken",7338617.00,618808.00,3417298.00,7,5,1,2,1,"Kvarnbäcken_3417298_1","Arjeplog",1
55,"Kvarnvikbäcken",7346880.00,578642.00,3417373.00,7,5,1,2,1,"Kvarnvikbäcken_3417373_1","Arjeplog",1
56,"Kärringbäcken",7285705.00,632190.00,3417420.00,7,5,1,2,1,"Kärringbäcken_3417420_1","Arjeplog",1
57,"Kåtabäccken",7315758.00,636094.00,3417450.00,7,5,1,2,1,"Kåtabäccken_3417450_1","Arjeplog",1
58,"Lájsso",7302242.00,617680.00,3417562.00,7,2,1,2,1,"Lájsso_3417562_1","Arjeplog",1
59,"Laisälven",7302313.00,617708.00,3417562.00,7,5,1,2,1,"Laisälven_3417562_1","Arjeplog",1
60,"Lájsso",7346554.00,586228.00,3417563.00,7,2,1,2,1,"Lájsso_3417563_1","Arjeplog",1
61,"Laisälven",7346605.00,586166.00,3417563.00,7,5,1,2,1,"Laisälven_3417563_1","Arjeplog",1
62,"Lájsso",7347516.00,591272.00,3417564.00,7,2,1,2,1,"Lájsso_3417564_1","Arjeplog",1
63,"Laisälven",7347603.00,591271.00,3417564.00,7,5,1,2,1,"Laisälven_3417564_1","Arjeplog",1
64,"Laisälven",7354106.00,567155.00,3417565.00,7,5,1,2,1,"Laisälven_3417565_1","Arjeplog",1
65,"Lájsso",7359872.00,560042.00,3417566.00,7,2,1,2,1,"Lájsso_3417566_1","Arjeplog",1
66,"Laisälven",7359987.00,560043.00,3417566.00,7,5,1,2,1,"Laisälven_3417566_1","Arjeplog",1
67,"Laxbäcken",7325802.00,652039.00,3417658.00,7,5,1,2,1,"Laxbäcken_3417658_1","Arjeplog",1
68,"Laxsjöbäcken",7342853.00,615297.00,3417661.00,7,5,1,2,1,"Laxsjöbäcken_3417661_1","Arjeplog",1
69,"Lill-Laisan",7285241.00,622406.00,3417760.00,7,5,1,2,1,"Lill-Laisan_3417760_1","Arjeplog",1
70,"Lillbäcken",7287836.00,637631.00,3417794.00,7,5,1,2,1,"Lillbäcken_3417794_1","Arjeplog",1
71,"Lillbäcken",7291019.00,618386.00,3417795.00,7,5,1,2,1,"Lillbäcken_3417795_1","Arjeplog",1
72,"Lillselet",7284673.00,643695.00,3417861.00,7,5,1,2,1,"Lillselet_3417861_1","Arjeplog",1
73,"Luspeforsen",7286643.00,622159.00,3418110.00,7,5,1,2,1,"Luspeforsen_3418110_1","Arjeplog",1
74,"Luspieguojkka",7286603.00,622162.00,3418110.00,7,7,1,2,1,"Luspieguojkka_3418110_1","Arjeplog",1
75,"Låttikbäcken",7293878.00,628025.00,3418212.00,7,5,1,2,1,"Låttikbäcken_3418212_1","Arjeplog",1
76,"Maddaurbäcken",7290938.00,638106.00,3418232.00,7,5,1,2,1,"Maddaurbäcken_3418232_1","Arjeplog",1
77,"Máttávrädno",7359583.00,644734.00,3418311.00,7,2,1,2,1,"Máttávrädno_3418311_1","Arjeplog",1
78,"Mattaureälven",7359655.00,644781.00,3418311.00,7,5,1,2,1,"Mattaureälven_3418311_1","Arjeplog",1
79,"Mieltekbäcken",7286547.00,636591.00,3418374.00,7,5,1,2,1,"Mieltekbäcken_3418374_1","Arjeplog",1
80,"Mieltiekjuhka",7286323.00,636592.00,3418374.00,7,7,1,2,1,"Mieltiekjuhka_3418374_1","Arjeplog",1
81,"Mjeltikbäcken",7280989.00,638620.00,3418410.00,7,5,1,2,1,"Mjeltikbäcken_3418410_1","Arjeplog",1
82,"Mieltiekjuhka",7280960.00,638585.00,3418410.00,7,7,1,2,1,"Mieltiekjuhka_3418410_1","Arjeplog",1
83,"Mjeltikbäcken",7279175.00,640498.00,3418411.00,7,5,1,2,1,"Mjeltikbäcken_3418411_1","Arjeplog",1
84,"Mjeltikbäcken",7284827.00,637353.00,3418412.00,7,5,1,2,1,"Mjeltikbäcken_3418412_1","Arjeplog",1
85,"Mieltiekjuhka",7284805.00,637314.00,3418412.00,7,7,1,2,1,"Mieltiekjuhka_3418412_1","Arjeplog",1
86,"Mullejaurebäcken",7291306.00,622118.00,3418466.00,7,5,1,2,1,"Mullejaurebäcken_3418466_1","Arjeplog",1
87,"Mullejávrejuhka",7291287.00,622161.00,3418466.00,7,7,1,2,1,"Mullejávrejuhka_3418466_1","Arjeplog",1
88,"Miersájåhkå",7346318.00,635301.00,3418582.00,7,2,1,2,1,"Miersájåhkå_3418582_1","Arjeplog",1
89,"Märsabäcken",7346248.00,635525.00,3418582.00,7,5,1,2,1,"Märsabäcken_3418582_1","Arjeplog",1
90,"Måkalåkkbäcken",7297868.00,610283.00,3418588.00,7,5,1,2,1,"Måkalåkkbäcken_3418588_1","Arjeplog",1
91,"Måhkkieluoktjuhka",7297869.00,610244.00,3418588.00,7,7,1,2,1,"Måhkkieluoktjuhka_3418588_1","Arjeplog",1
92,"Mörttjärnbäcken",7337858.00,614210.00,3418605.00,7,5,1,2,1,"Mörttjärnbäcken_3418605_1","Arjeplog",1
93,"Nammatjjåhkå",7338200.00,603803.00,3418642.00,7,2,1,2,1,"Nammatjjåhkå_3418642_1","Arjeplog",1
94,"Nammatjbäcken",7338242.00,603778.00,3418642.00,7,5,1,2,1,"Nammatjbäcken_3418642_1","Arjeplog",1
95,"Nartokbäcken",7277530.00,640788.00,3418654.00,7,5,1,2,1,"Nartokbäcken_3418654_1","Arjeplog",1
96,"Nederstforsen",7284541.00,643572.00,3418665.00,7,5,1,2,1,"Nederstforsen_3418665_1","Arjeplog",1
97,"Njallajågåsj",7336516.00,653654.00,3418751.00,7,2,1,2,1,"Njallajågåsj_3418751_1","Arjeplog",1
98,"Njallabäcken",7336586.00,653717.00,3418751.00,7,5,1,2,1,"Njallabäcken_3418751_1","Arjeplog",1
99,"Njuollajaurbäcken",7288208.00,639289.00,3418767.00,7,5,1,2,1,"Njuollajaurbäcken_3418767_1","Arjeplog",1
100,"Njuollajávrejuhka",7288167.00,639266.00,3418767.00,7,7,1,2,1,"Njuollajávrejuhka_3418767_1","Arjeplog",1
101,"Njuollajaurbäcken",7291923.00,631931.00,3418768.00,7,5,1,2,1,"Njuollajaurbäcken_3418768_1","Arjeplog",1
102,"Njuollajávrejuhka",7291885.00,631914.00,3418768.00,7,7,1,2,1,"Njuollajávrejuhka_3418768_1","Arjeplog",1
103,"Norra Duolbakbäcken",7357985.00,566074.00,3418812.00,7,5,1,2,1,"Norra Duolbakbäcken_3418812_1","Arjeplog",1
104,"Nymyrbäcken",7301390.00,636912.00,3418899.00,7,5,1,2,1,"Nymyrbäcken_3418899_1","Arjeplog",1
105,"Per-Jonsforsen",7286129.00,622339.00,3419188.00,7,5,1,2,1,"Per-Jonsforsen_3419188_1","Arjeplog",1
106,"Per-Larsaselet",7285373.00,644531.00,3419189.00,7,5,1,2,1,"Per-Larsaselet_3419189_1","Arjeplog",1
107,"Rábnájuhka",7343328.00,592473.00,3419490.00,7,7,1,2,1,"Rábnájuhka_3419490_1","Arjeplog",1
108,"Rádnávrjåhkå",7325084.00,641924.00,3419494.00,7,2,1,2,1,"Rádnávrjåhkå_3419494_1","Arjeplog",1
109,"Radnejaurälven",7325155.00,642604.00,3419494.00,7,5,1,2,1,"Radnejaurälven_3419494_1","Arjeplog",1
110,"Rajibäcken",7333508.00,621203.00,3419501.00,7,5,1,2,1,"Rajibäcken_3419501_1","Arjeplog",1
111,"Ráhpajågåtj",7354565.00,574911.00,3419519.00,7,2,1,2,1,"Ráhpajågåtj_3419519_1","Arjeplog",1
112,"Rahppenjåhkå",7376232.00,620603.00,3419525.00,7,2,1,2,1,"Rahppenjåhkå_3419525_1","Arjeplog",1
113,"Rahpriggo",7376637.00,623481.00,3419528.00,7,2,1,2,1,"Rahpriggo_3419528_1","Arjeplog",1
114,"Rávddojåhkå",7386540.00,561127.00,3419534.00,7,2,1,2,1,"Rávddojåhkå_3419534_1","Arjeplog",1
115,"Ravesjbäcken",7307278.00,617272.00,3419562.00,7,5,1,2,1,"Ravesjbäcken_3419562_1","Arjeplog",1
116,"Rávasjjuhka",7307255.00,617305.00,3419562.00,7,7,1,2,1,"Rávasjjuhka_3419562_1","Arjeplog",1
117,"Ribrávrjåhkå",7336329.00,650194.00,3419563.00,7,2,1,2,1,"Ribrávrjåhkå_3419563_1","Arjeplog",1
118,"Rebraurströmmen",7336445.00,650554.00,3419563.00,7,5,1,2,1,"Rebraurströmmen_3419563_1","Arjeplog",1
119,"Riŋgojågåtj",7353771.00,641259.00,3419607.00,7,2,1,2,1,"Riŋgojågåtj_3419607_1","Arjeplog",1
120,"Ringobäcken",7353880.00,641191.00,3419607.00,7,5,1,2,1,"Ringobäcken_3419607_1","Arjeplog",1
121,"Ruepssesjuhka",7350551.00,570572.00,3419714.00,7,7,1,2,1,"Ruepssesjuhka_3419714_1","Arjeplog",1
122,"Rutsabäcken",7302752.00,629027.00,3419733.00,7,5,1,2,1,"Rutsabäcken_3419733_1","Arjeplog",1
123,"Råggobäcken",7294003.00,658165.00,3419770.00,7,5,1,2,1,"Råggobäcken_3419770_1","Arjeplog",1
124,"Ruoguojjuhka",7293968.00,658129.00,3419770.00,7,7,1,2,1,"Ruoguojjuhka_3419770_1","Arjeplog",1
125,"Råggobäcken",7294920.00,656228.00,3419771.00,7,5,1,2,1,"Råggobäcken_3419771_1","Arjeplog",1
126,"Råssnesbäcken",7348031.00,620760.00,3419801.00,7,5,1,2,1,"Råssnesbäcken_3419801_1","Arjeplog",1
127,"Råttjebäcken",7306296.00,650798.00,3419808.00,7,5,1,2,1,"Råttjebäcken_3419808_1","Arjeplog",1
128,"Ruhtjiejuhkatje",7306238.00,650675.00,3419808.00,7,7,1,2,1,"Ruhtjiejuhkatje_3419808_1","Arjeplog",1
129,"Råttjebäcken",7338334.00,652175.00,3419809.00,7,5,1,2,1,"Råttjebäcken_3419809_1","Arjeplog",1
130,"Råvviejuhkatje",7300546.00,652212.00,3419810.00,7,5,1,2,1,"Råvviejuhkatje_3419810_1","Arjeplog",1
131,"Råvebäcken",7300589.00,652288.00,3419810.00,7,7,1,2,1,"Råvebäcken_3419810_1","Arjeplog",1
132,"Rönnbäcken",7285821.00,632710.00,3419834.00,7,5,1,2,1,"Rönnbäcken_3419834_1","Arjeplog",1
133,"Sandbäcken",7299536.00,617220.00,3419954.00,7,5,1,2,1,"Sandbäcken_3419954_1","Arjeplog",1
134,"Sarabäcken",7351138.00,580887.00,3419974.00,7,5,1,2,1,"Sarabäcken_3419974_1","Arjeplog",1
135,"Silbbajåhkå",7375271.00,560546.00,3420085.00,7,2,1,2,1,"Silbbajåhkå_3420085_1","Arjeplog",1
136,"Skarjakbäcken",7311787.00,618974.00,3420126.00,7,5,1,2,1,"Skarjakbäcken_3420126_1","Arjeplog",1
137,"Skellefteälven",7285086.00,644291.00,3420149.00,7,5,1,2,1,"Skellefteälven_3420149_1","Arjeplog",1
138,"Syöldateiednuo",7285035.00,644366.00,3420149.00,7,7,1,2,1,"Syöldateiednuo_3420149_1","Arjeplog",1
139,"Skidnakjåhkå",7381835.00,562434.00,3420151.00,7,2,1,2,1,"Skidnakjåhkå_3420151_1","Arjeplog",1
140,"Skommarbäcken",7345155.00,628995.00,3420162.00,7,5,1,2,1,"Skommarbäcken_3420162_1","Arjeplog",1
141,"Starrbäcken",7283837.00,627612.00,3420365.00,7,5,1,2,1,"Starrbäcken_3420365_1","Arjeplog",1
142,"Stensjöströmmen",7338779.00,640752.00,3420391.00,7,5,1,2,1,"Stensjöströmmen_3420391_1","Arjeplog",1
143,"Storbäcken",7296371.00,629647.00,3420466.00,7,5,1,2,1,"Storbäcken_3420466_1","Arjeplog",1
144,"Luossajuhka",7294938.00,630287.00,3420466.00,7,7,1,2,1,"Luossajuhka_3420466_1","Arjeplog",1
145,"Storbäcken",7318296.00,638475.00,3420480.00,7,5,1,2,1,"Storbäcken_3420480_1","Arjeplog",1
146,"Storbäcken",7335413.00,621593.00,3420484.00,7,5,1,2,1,"Storbäcken_3420484_1","Arjeplog",1
147,"Stormyrbäcken",7280953.00,633620.00,3420552.00,7,5,1,2,1,"Stormyrbäcken_3420552_1","Arjeplog",1
148,"Storselet",7286640.00,644465.00,3420576.00,7,5,1,2,1,"Storselet_3420576_1","Arjeplog",1
149,"Svalfobäcken",7295690.00,624172.00,3420710.00,7,5,1,2,1,"Svalfobäcken_3420710_1","Arjeplog",1
150,"Sválffuojuhka",7295660.00,624198.00,3420710.00,7,7,1,2,1,"Sválffuojuhka_3420710_1","Arjeplog",1
151,"Sågströmmen",7346446.00,625769.00,3420839.00,7,5,1,2,1,"Sågströmmen_3420839_1","Arjeplog",1
152,"Södra Duolbakbäcken",7352872.00,566924.00,3420850.00,7,5,1,2,1,"Södra Duolbakbäcken_3420850_1","Arjeplog",1
153,"Tjaktjaurälven",7386541.00,556155.00,3420996.00,7,5,1,2,1,"Tjaktjaurälven_3420996_1","Arjeplog",1
154,"Tjålmbäcken",7297558.00,615341.00,3421046.00,7,5,1,2,1,"Tjålmbäcken_3421046_1","Arjeplog",1
155,"Tjålbmajuhka",7297514.00,615345.00,3421046.00,7,7,1,2,1,"Tjålbmajuhka_3421046_1","Arjeplog",1
156,"Vallåivebäcken",7360817.00,564456.00,3421382.00,7,5,1,2,1,"Vallåivebäcken_3421382_1","Arjeplog",1
157,"Veddekbäcken",7322932.00,605514.00,3421472.00,7,5,1,2,1,"Veddekbäcken_3421472_1","Arjeplog",1
158,"Vejejaurebäcken",7295752.00,636763.00,3421475.00,7,5,1,2,1,"Vejejaurebäcken_3421475_1","Arjeplog",1
159,"Vuojjurejuhka",7295707.00,636763.00,3421475.00,7,7,1,2,1,"Vuojjurejuhka_3421475_1","Arjeplog",1
160,"Väppsájåhkå",7375274.00,616486.00,3421502.00,7,2,1,2,1,"Väppsájåhkå_3421502_1","Arjeplog",1
161,"Vittjärnbäcken",7349713.00,586596.00,3421602.00,7,5,1,2,1,"Vittjärnbäcken_3421602_1","Arjeplog",1
162,"Veälliekjuhka",7321943.00,598117.00,3421727.00,7,7,1,2,1,"Veälliekjuhka_3421727_1","Arjeplog",1
163,"Östra Lairobäcken",7291411.00,619122.00,3421977.00,7,5,1,2,1,"Östra Lairobäcken_3421977_1","Arjeplog",1
164,"Luvllie Lájrruojuhka",7291384.00,619102.00,3421977.00,7,7,1,2,1,"Luvllie Lájrruojuhka_3421977_1","Arjeplog",1
165,"Abborrtjärnen",7278006.00,647942.00,3425886.00,8,5,1,2,1,"Abborrtjärnen_3425886_1","Arjeplog",1
166,"Rånttuojávrátje",7278018.00,649603.00,3425886.00,8,7,1,2,1,"Rånttuojávrátje_3425886_1","Arjeplog",1
167,"Abborrtjärnen",7298756.00,637548.00,3425887.00,8,5,1,2,1,"Abborrtjärnen_3425887_1","Arjeplog",1
168,"Abborrtjärnen",7313731.00,640359.00,3425888.00,8,5,1,2,1,"Abborrtjärnen_3425888_1","Arjeplog",1
169,"Abborrtjärnen",7322518.00,646304.00,3425889.00,8,5,1,2,1,"Abborrtjärnen_3425889_1","Arjeplog",1
170,"Abborrtjärnen",7330875.00,615127.00,3425890.00,8,5,1,2,1,"Abborrtjärnen_3425890_1","Arjeplog",1
171,"Abborrtjärnen",7338656.00,602487.00,3425891.00,8,5,1,2,1,"Abborrtjärnen_3425891_1","Arjeplog",1
172,"Abborrtjärnen",7341371.00,602909.00,3425892.00,8,5,1,2,1,"Abborrtjärnen_3425892_1","Arjeplog",1
173,"Abborrtjärnen",7358961.00,601682.00,3425893.00,8,5,1,2,1,"Abborrtjärnen_3425893_1","Arjeplog",1
174,"Ábrávrre",7328588.00,673354.00,3426537.00,1,2,1,2,1,"Ábrávrre_3426537_1","Arjeplog",1
175,"Abraure",7328630.00,673337.00,3426537.00,1,5,1,2,1,"Abraure_3426537_1","Arjeplog",1
176,"Ackerselet",7319075.00,599225.00,3426597.00,8,5,1,2,1,"Ackerselet_3426597_1","Arjeplog",1
177,"Adolfsström",7352080.00,574597.00,3427097.00,1,5,1,2,1,"Adolfsström_3427097_1","Arjeplog",1
178,"Ahaholmen",7287926.00,643163.00,3427843.00,5,5,1,2,1,"Ahaholmen_3427843_1","Arjeplog",1
179,"Ahaudden",7288175.00,643439.00,3427853.00,5,5,1,2,1,"Ahaudden_3427853_1","Arjeplog",1
180,"Ahaviken",7287574.00,643561.00,3427854.00,6,5,1,2,1,"Ahaviken_3427854_1","Arjeplog",1
181,"Áháluoktta",7287504.00,643556.00,3427854.00,6,7,1,2,1,"Áháluoktta_3427854_1","Arjeplog",1
182,"Ahaviken",7353929.00,570834.00,3427855.00,6,5,1,2,1,"Ahaviken_3427855_1","Arjeplog",1
183,"Ahotjärnen",7365355.00,589447.00,3427922.00,8,5,1,2,1,"Ahotjärnen_3427922_1","Arjeplog",1
184,"Ájgájávrre",7375495.00,587064.00,3428008.00,8,2,1,2,1,"Ájgájávrre_3428008_1","Arjeplog",1
185,"Ájgávárre",7374438.00,586045.00,3428009.00,5,2,1,2,1,"Ájgávárre_3428009_1","Arjeplog",1
186,"Ájmoluokta",7328825.00,607483.00,3428049.00,6,2,1,2,1,"Ájmoluokta_3428049_1","Arjeplog",1
187,"Áhkágutjjávrátj",7347206.00,605226.00,3428244.00,8,2,1,2,1,"Áhkágutjjávrátj_3428244_1","Arjeplog",1
188,"Áhkávárrie",7292729.00,652222.00,3428351.00,5,7,1,2,1,"Áhkávárrie_3428351_1","Arjeplog",1
189,"Áhkális",7335136.00,618261.00,3428355.00,5,2,1,2,1,"Áhkális_3428355_1","Arjeplog",1
190,"Akkelisholmen",7306856.00,625547.00,3428365.00,5,5,1,2,1,"Akkelisholmen_3428365_1","Arjeplog",1
191,"Áhkálisjávrre",7332745.00,616282.00,3428367.00,8,7,1,2,1,"Áhkálisjávrre_3428367_1","Arjeplog",1
192,"Aksjomyran",7283400.00,648361.00,3428436.00,4,5,1,2,1,"Aksjomyran_3428436_1","Arjeplog",1
193,"Áksjuoáhpie",7283327.00,648358.00,3428436.00,4,7,1,2,1,"Áksjuoáhpie_3428436_1","Arjeplog",1
194,"Alep Luojvo",7375264.00,578797.00,3429616.00,8,2,1,2,1,"Alep Luojvo_3429616_1","Arjeplog",1
195,"Alep Tjállasjávrre",7364084.00,569712.00,3429618.00,8,2,1,2,1,"Alep Tjállasjávrre_3429618_1","Arjeplog",1
196,"Alep Iksják",7349204.00,618591.00,3429628.00,5,2,1,2,1,"Alep Iksják_3429628_1","Arjeplog",1
197,"Alek",7372112.00,640565.00,3429769.00,1,2,1,2,1,"Alek_3429769_1","Arjeplog",1
198,"Allak",7345220.00,592197.00,3430784.00,5,7,1,2,1,"Allak_3430784_1","Arjeplog",1
199,"Allebuovdda",7359111.00,620730.00,3430847.00,5,2,1,2,1,"Allebuovdda_3430847_1","Arjeplog",1
200,"Allejaur",7310648.00,656245.00,3430860.00,1,5,1,2,1,"Allejaur_3430860_1","Arjeplog",1
201,"Jilliejávrrie",7310610.00,655242.00,3430860.00,1,7,1,2,1,"Jilliejávrrie_3430860_1","Arjeplog",1
202,"Alvik",7319610.00,649851.00,3433176.00,1,5,1,2,1,"Alvik_3433176_1","Arjeplog",1
203,"Ammikudden",7333669.00,636568.00,3433784.00,5,5,1,2,1,"Ammikudden_3433784_1","Arjeplog",1
204,"Anders-Månsaholmen",7314114.00,626698.00,3434791.00,5,5,1,2,1,"Anders-Månsaholmen_3434791_1","Arjeplog",1
205,"Anders-Nilsatjärnarna",7373519.00,570802.00,3434798.00,8,5,1,2,1,"Anders-Nilsatjärnarna_3434798_1","Arjeplog",1
206,"Andersudden",7309469.00,654626.00,3435228.00,5,5,1,2,1,"Andersudden_3435228_1","Arjeplog",1
207,"Anna Kajsaholmen",7317339.00,626312.00,3436231.00,5,5,1,2,1,"Anna Kajsaholmen_3436231_1","Arjeplog",1
208,"Áhparluokta",7366457.00,621181.00,3437879.00,6,2,1,2,1,"Áhparluokta_3437879_1","Arjeplog",1
209,"Aresåive",7282111.00,631283.00,3438728.00,1,5,1,2,1,"Aresåive_3438728_1","Arjeplog",1
210,"Árdnasåjvvie",7282105.00,631283.00,3438728.00,1,7,1,2,1,"Árdnasåjvvie_3438728_1","Arjeplog",1
211,"Árjepluovve",7327845.00,630330.00,3438897.00,2,2,1,2,1,"Árjepluovve_3438897_1","Arjeplog",1
212,"Arjeplog",7327929.00,630302.00,3438897.00,2,5,1,2,1,"Arjeplog_3438897_1","Arjeplog",1
213,"Árrajávrre",7381336.00,561979.00,3439683.00,8,2,1,2,1,"Árrajávrre_3439683_1","Arjeplog",1
214,"Árraluokta",7382989.00,560334.00,3439684.00,8,2,1,2,1,"Árraluokta_3439684_1","Arjeplog",1
215,"Artjekholmen",7323836.00,628200.00,3439825.00,5,5,1,2,1,"Artjekholmen_3439825_1","Arjeplog",1
216,"Askeberget",7320127.00,622216.00,3440460.00,5,5,1,2,1,"Askeberget_3440460_1","Arjeplog",1
