"ID","Ortnamn","N","E","LOPNR","Namntyp_nr","Språk_nr","Sockenstad_nr","Län_nr","Kommun_nr","Kombo","Sockenstad","nr"
60447,"Kvarnmyrkullen",7094757.00,643718.00,3786857.00,5,5,23,1,12,"Kvarnmyrkullen_3786857_23","Åsele",23
60448,"Kvarnsjön",7105101.00,626619.00,3787178.00,8,5,23,1,12,"Kvarnsjön_3787178_23","Åsele",23
60449,"Kvarntjärnarna",7097874.00,642233.00,3787483.00,8,5,23,1,12,"Kvarntjärnarna_3787483_23","Åsele",23
60450,"Kvarntjärnen",7099795.00,663408.00,3787576.00,8,5,8,1,12,"Kvarntjärnen_3787576_8","Fredrika",8
60451,"Kvarntjärnen",7091677.00,636597.00,3787641.00,8,5,23,1,12,"Kvarntjärnen_3787641_23","Åsele",23
60452,"Kvarnviken",7087717.00,623734.00,3788277.00,6,5,23,1,12,"Kvarnviken_3788277_23","Åsele",23
60453,"Kvarnviken",7110704.00,605758.00,3788278.00,6,5,23,1,12,"Kvarnviken_3788278_23","Åsele",23
60454,"Kvarnviken",7108561.00,668673.00,3788279.00,6,5,8,1,12,"Kvarnviken_3788279_8","Fredrika",8
60455,"Kvisselmyran",7151850.00,621663.00,3789604.00,4,5,23,1,12,"Kvisselmyran_3789604_23","Åsele",23
60456,"Kvällmyran",7094063.00,638054.00,3790053.00,4,5,23,1,12,"Kvällmyran_3790053_23","Åsele",23
60457,"Kvällsberget",7103917.00,658498.00,3790063.00,5,5,8,1,12,"Kvällsberget_3790063_8","Fredrika",8
60458,"Kvällsjön",7114454.00,620911.00,3790073.00,8,5,23,1,12,"Kvällsjön_3790073_23","Åsele",23
60459,"Kvällstjärnen",7103424.00,629315.00,3790090.00,8,5,23,1,12,"Kvällstjärnen_3790090_23","Åsele",23
60460,"Kvällträsk",7114276.00,619350.00,3790096.00,1,5,23,1,12,"Kvällträsk_3790096_23","Åsele",23
60461,"Kvällträskberget",7113291.00,621153.00,3790098.00,5,5,23,1,12,"Kvällträskberget_3790098_23","Åsele",23
